OTU_ID  L2S357	L2S358	L2S359	L2S360	L2S361	L2S362	L2S363	L2S364	L2S365	L2S366	L2S367	L2S368	L2S369	L2S370	L2S371	L2S372	L2S373	L2S374	L2S375	L2S376	L2S377	L2S378	L2S379	L2S380	L2S381	L2S382	L2S383	L2S384	L2S385	L2S386	L2S387	L2S388	L2S389	L2S390	L2S391	L2S392	L2S393	L2S394
c57f5a08c7739c6669135b9c074d17e4	0.0	0.0	1399.0	2673.0	3621.0	876.0	1969.0	434.0	1347.0	2478.0	344.0	3247.0	458.0	877.0	695.0	2781.0	626.0	2955.0	2686.0	379.0	4769.0	2452.0	262.0	21.0	455.0	374.0	90.0	0.0	0.0	1480.0	1074.0	863.0	1119.0	2987.0	4723.0	363.0	1039.0	6826.0
997c9cf3954d50a2eea9240566a055e0	572.0	3126.0	2687.0	135.0	0.0	5481.0	2874.0	743.0	2458.0	2306.0	944.0	801.0	3349.0	3250.0	214.0	272.0	136.0	2451.0	34.0	663.0	0.0	721.0	3806.0	0.0	462.0	289.0	111.0	0.0	0.0	1454.0	2105.0	1161.0	678.0	2769.0	210.0	2542.0	93.0	378.0
b7f0b42cadc1bb48b5483f86bcd2a2af	0.0	0.0	1408.0	0.0	1020.0	7654.0	1054.0	28.0	60.0	512.0	1066.0	138.0	2280.0	1287.0	3414.0	976.0	299.0	0.0	255.0	87.0	0.0	238.0	0.0	0.0	412.0	935.0	0.0	0.0	0.0	179.0	0.0	403.0	203.0	790.0	22.0	472.0	1361.0	1046.0
01b3c885e8d4d6c9be788aee741d2c3d	0.0	2454.0	0.0	2256.0	0.0	0.0	1224.0	1632.0	908.0	511.0	885.0	830.0	885.0	1273.0	0.0	452.0	215.0	2590.0	62.0	114.0	0.0	468.0	0.0	0.0	210.0	0.0	0.0	27.0	0.0	1950.0	1059.0	0.0	215.0	1852.0	0.0	424.0	604.0	156.0
384209e60739f97b489d7a287a266d8b	0.0	0.0	299.0	1336.0	42.0	76.0	370.0	324.0	1164.0	561.0	1487.0	2233.0	397.0	459.0	169.0	320.0	41.0	347.0	35.0	2855.0	266.0	640.0	0.0	0.0	0.0	20.0	0.0	45.0	0.0	1429.0	0.0	283.0	0.0	59.0	2377.0	276.0	207.0	336.0
26a84dfda3ec72b6065e80d91e444d07	280.0	0.0	176.0	563.0	0.0	227.0	404.0	480.0	1006.0	179.0	821.0	559.0	276.0	1098.0	95.0	53.0	155.0	2049.0	31.0	3466.0	546.0	269.0	345.0	0.0	216.0	64.0	80.0	0.0	0.0	220.0	1264.0	496.0	557.0	425.0	692.0	251.0	119.0	266.0
b26b271e432dc41be105ed218d5a0f99	2984.0	434.0	57.0	0.0	0.0	0.0	172.0	192.0	335.0	464.0	463.0	196.0	339.0	353.0	0.0	0.0	0.0	218.0	0.0	347.0	0.0	186.0	50.0	0.0	1858.0	28.0	0.0	0.0	0.0	1004.0	0.0	234.0	0.0	702.0	0.0	323.0	1066.0	45.0
fa07448f653cc72d7f5a5022500f3a68	0.0	0.0	0.0	0.0	2200.0	0.0	0.0	0.0	0.0	376.0	0.0	101.0	0.0	0.0	1637.0	0.0	0.0	0.0	155.0	0.0	2998.0	0.0	297.0	0.0	0.0	161.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.0	1650.0	0.0
574efbf2a02895e89f86ce953c5e2482	0.0	0.0	310.0	110.0	194.0	152.0	118.0	26.0	175.0	330.0	69.0	286.0	0.0	167.0	79.0	54.0	124.0	273.0	207.0	6.0	1222.0	308.0	495.0	0.0	196.0	41.0	100.0	0.0	0.0	223.0	0.0	0.0	493.0	179.0	2120.0	187.0	290.0	479.0
55735df19cc00b6bc4ca3c7833532b77	122.0	1083.0	48.0	0.0	112.0	0.0	765.0	0.0	0.0	456.0	536.0	0.0	52.0	0.0	430.0	1236.0	377.0	0.0	0.0	66.0	0.0	73.0	0.0	78.0	1147.0	160.0	0.0	0.0	0.0	305.0	0.0	290.0	0.0	94.0	0.0	35.0	1095.0	156.0
